;ARQ1000_grau;ARQ1001_grau;ARQ1002_grau;ARQ1101_grau;ARQ1102_grau;ARQ1103_grau;ART1020_grau;ART1027_grau;ART1028_grau;ART1029_grau;ART1030_grau;ART1210_grau;ART1420_grau;CIV1301_grau;CRE0700_grau;CRE1100_grau;CRE1141_grau;HIS1430_grau;HIS1850_grau;MAT1071_grau;MAT1072_grau;SOC1139_grau;id;semestre
1233;0.74;-1.0;-1.0;0.72;-1.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.89;-1.0;-1.0;0.9;-1.0;-1.0;-1.0;0.53;-1.0;-1.0;aluno3290;1
1234;-1.0;0.6;-1.0;-1.0;0.77;-1.0;-1.0;0.89;0.79;-1.0;-1.0;0.9199999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3290;2
1235;-1.0;-1.0;0.79;-1.0;-1.0;0.6599999999999999;-1.0;-1.0;-1.0;0.9800000000000001;-1.0;-1.0;-1.0;0.96;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.76;0.65;aluno3290;3
1236;0.79;-1.0;-1.0;0.86;-1.0;-1.0;0.93;-1.0;-1.0;-1.0;-1.0;-1.0;0.9099999999999999;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;0.6;-1.0;-1.0;aluno3292;1
1237;-1.0;0.75;-1.0;-1.0;0.74;-1.0;-1.0;0.8800000000000001;0.74;-1.0;-1.0;0.89;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3292;2
1238;-1.0;-1.0;0.82;-1.0;-1.0;0.64;-1.0;-1.0;-1.0;0.72;-1.0;-1.0;-1.0;0.89;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.63;0.85;aluno3292;3
1239;0.74;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;0.85;-1.0;-1.0;-1.0;-1.0;-1.0;0.93;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;aluno3295;1
1240;-1.0;0.82;-1.0;-1.0;0.85;-1.0;-1.0;1.0;0.76;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3295;2
1241;-1.0;-1.0;1.0;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;0.86;-1.0;-1.0;-1.0;0.8699999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.75;0.8;aluno3295;3
1242;0.72;-1.0;-1.0;0.73;-1.0;-1.0;0.73;-1.0;-1.0;-1.0;-1.0;-1.0;0.9;-1.0;-1.0;0.8800000000000001;-1.0;-1.0;-1.0;0.63;-1.0;-1.0;aluno3300;1
1243;-1.0;0.63;-1.0;-1.0;0.55;-1.0;-1.0;0.9;0.5700000000000001;-1.0;-1.0;0.8099999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3300;2
1244;-1.0;-1.0;0.9400000000000001;-1.0;-1.0;0.62;-1.0;-1.0;-1.0;0.5599999999999999;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.32;0.8300000000000001;aluno3300;3
1245;0.6799999999999999;-1.0;-1.0;0.6599999999999999;-1.0;-1.0;0.7;-1.0;-1.0;-1.0;-1.0;-1.0;0.8;-1.0;-1.0;0.95;-1.0;-1.0;-1.0;0.93;-1.0;-1.0;aluno3302;1
1246;-1.0;0.54;-1.0;-1.0;0.52;-1.0;-1.0;0.8800000000000001;0.5;-1.0;-1.0;0.76;-1.0;-1.0;0.93;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;aluno3302;2
1247;-1.0;-1.0;0.9400000000000001;-1.0;-1.0;0.82;-1.0;-1.0;-1.0;0.71;-1.0;-1.0;-1.0;0.75;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.7;0.6799999999999999;aluno3302;3
